Source,Destination,Data Type,Flow Type,Protocol,Port,Authentication,Encryption,Rate Limiting,Transformation,Monitoring,Backup

# User Authentication Flows
Browser,OAuth Provider,"Auth Request",Synchronous,HTTPS,443,"None","TLS 1.3","100 req/min",None,"Auth success rate","None"
OAuth Provider,JupyterHub,"Auth Token",Synchronous,HTTPS,443,"OAuth2","TLS 1.3","50 req/min","Token validation","Token validity","None"
JupyterHub,User Pod,"Session Cookie",Synchronous,HTTPS,8081,"Cookie","TLS 1.3","10 req/min","Session creation","Session duration","None"

# ML Platform Data Flows
User Pod,MLflow,"Experiment Data",Asynchronous,HTTPS,5000,"IAM","TLS 1.3","1000 req/min","Data serialization","Experiment metrics","GCS backup"
MLflow,PostgreSQL,"Metadata",Synchronous,TCP,5432,"Password","TLS 1.2","500 req/min","SQL transformation","Query performance","Daily backup"
MLflow,GCS,"Artifacts",Asynchronous,HTTPS,443,"IAM","TLS 1.3","100 MB/s","None","Upload latency","Version history"

# Storage Data Flows
User Pod,GCS,"User Files",Asynchronous,HTTPS,443,"IAM","TLS 1.3","50 MB/s","None","Transfer rate","Version history"
GCS,Cloud SQL,"Database Dumps",Scheduled,HTTPS,443,"IAM","TLS 1.3","200 MB/s","None","Transfer success","30-day retention"

# Cloud Infrastructure Flows
GKE Control Plane,Nodes,"Control Messages",Continuous,HTTPS,443,"Workload Identity","TLS 1.3","10000 req/min","None","Control plane metrics","Etcd backup"
Cloud Load Balancer,GKE Ingress,"Traffic routing",Continuous,HTTPS,443,"TLS Cert","TLS 1.3","Auto-scaling","SSL Termination","Request metrics","None"
VPC Network,Cloud SQL,"Database traffic",Continuous,TCP,5432,"IAM","TLS 1.2","Instance limits","None","VPC flow logs","None"

# Feature Store Flows
Feature Store,Cloud Datastore,"Feature Data",Synchronous,HTTPS,443,"IAM","TLS 1.3","1000 req/min","Feature validation","Serving latency","Datastore backup"
Feature Store,Redis Cache,"Feature Cache",Synchronous,TCP,6379,"Password","TLS 1.2","10000 req/min","Data serialization","Cache hit rate","RDB snapshot"
ML Models,Feature Store,"Feature Requests",Synchronous,HTTPS,8666,"IAM","TLS 1.3","5000 req/min","Feature transformation","Request latency","None"

# Workflow Data Flows
Airflow DAGs,GCS,"DAG Files",Synchronous,HTTPS,443,"IAM","TLS 1.3","100 req/min","None","Sync status","Version control"
Airflow,PostgreSQL,"Workflow State",Synchronous,TCP,5432,"Password","TLS 1.2","1000 req/min","State management","DB performance","Daily backup"
Airflow Workers,Redis,"Task Queue",Synchronous,TCP,6379,"Password","TLS 1.2","5000 req/min","Task serialization","Queue metrics","Redis persistence"

# Monitoring Data Flows
System Metrics,Prometheus,"Metrics Data",Continuous,HTTP,9090,"None","None","10000 samples/s","Data aggregation","Ingestion rate","Retention policy"
Prometheus,Grafana,"Visualization Data",Synchronous,HTTPS,3000,"API Key","TLS 1.3","1000 req/min","Query processing","Query performance","Dashboard backup"
Alert Manager,SMTP,"Alert Notifications",Asynchronous,SMTP,587,"Password","TLS 1.2","100 req/min","Alert formatting","Delivery rate","Alert history"

# Security Data Flows
Audit Logs,Cloud Logging,"Audit Events",Continuous,HTTPS,443,"IAM","TLS 1.3","5000 events/min","Log formatting","Ingestion rate","30-day retention"
Security Scans,Alert Manager,"Security Alerts",Asynchronous,HTTPS,9093,"API Key","TLS 1.3","100 req/min","Alert enrichment","Alert latency","7-day history"
Certificate Updates,Cert Manager,"TLS Certificates",Scheduled,HTTPS,9402,"IAM","TLS 1.3","10 req/min","None","Renewal status","Cert backup"

# Cloud Monitoring Flows
GKE Metrics,Cloud Monitoring,"Container metrics",Continuous,HTTPS,443,"IAM","TLS 1.3","1000 series/s","Aggregation","Ingestion metrics","30-day retention"
Cloud Trace,Cloud Storage,"Trace logs",Continuous,HTTPS,443,"IAM","TLS 1.3","1000 spans/s","Sampling","Trace metrics","GCS archive"
Cloud Profiler,Cloud Storage,"Profile data",Periodic,HTTPS,443,"IAM","TLS 1.3","1 profile/min","Data aggregation","Profile metrics","30-day retention"

# Cloud Security Flows
Cloud Armor,Load Balancer,"WAF rules",Continuous,Internal,443,"IAM","TLS 1.3","Auto-scaling","Rule evaluation","Security metrics","Rule backup"
VPC Service Controls,All Services,"Perimeter rules",Continuous,Internal,443,"IAM","TLS 1.3","1000 eval/s","Policy evaluation","Perimeter metrics","Policy backup"
Security Command,Cloud Storage,"Security findings",Continuous,HTTPS,443,"IAM","TLS 1.3","100 findings/s","Risk evaluation","Finding metrics","Finding history"

# Cloud Storage Flows
Cloud Storage,Cloud CDN,"Static assets",Continuous,HTTPS,443,"IAM","TLS 1.3","Auto-scaling","Cache optimization","CDN metrics","Object versioning"
Cloud SQL,Cloud Storage,"DB backups",Scheduled,HTTPS,443,"IAM","TLS 1.3","100 MB/s","Compression","Backup metrics","GCS lifecycle"
Cloud Datastore,Cloud Storage,"Datastore backup",Scheduled,HTTPS,443,"IAM","TLS 1.3","200 MB/s","None","Backup metrics","GCS lifecycle"

# Cloud Monitoring Flows
GKE Metrics,Cloud Monitoring,"Container metrics",Continuous,HTTPS,443,"IAM","TLS 1.3","1000 series/s","Aggregation","Ingestion metrics","30-day retention"
Cloud Trace,Cloud Storage,"Trace logs",Continuous,HTTPS,443,"IAM","TLS 1.3","1000 spans/s","Sampling","Trace metrics","GCS archive"
Cloud Profiler,Cloud Storage,"Profile data",Periodic,HTTPS,443,"IAM","TLS 1.3","1 profile/min","Data aggregation","Profile metrics","30-day retention"

# Cloud Security Flows
Cloud Armor,Load Balancer,"WAF rules",Continuous,Internal,443,"IAM","TLS 1.3","Auto-scaling","Rule evaluation","Security metrics","Rule backup"
VPC Service Controls,All Services,"Perimeter rules",Continuous,Internal,443,"IAM","TLS 1.3","1000 eval/s","Policy evaluation","Perimeter metrics","Policy backup"
Security Command,Cloud Storage,"Security findings",Continuous,HTTPS,443,"IAM","TLS 1.3","100 findings/s","Risk evaluation","Finding metrics","Finding history" 
